,0,0
99,0.2523378,0.3447325
100,0.3242487,0.33983248
101,0.37705415,0.3487301
102,,0.33635667
103,0.3954537,0.3581347
104,0.42161837,0.34378177
105,0.41827658,0.3658656
106,0.38309464,0.37698585
107,0.37743014,0.3755573
108,0.37957278,0.3606646
109,,0.35829192
110,0.41886336,0.35918856
111,0.41777197,0.355339
112,0.40357783,0.37580794
113,0.3904883,0.37534177
114,0.37769455,0.3693025
115,0.38929737,0.36377203
116,0.40819788,0.35840252
117,0.37851363,0.3632707
118,0.33334887,0.37126344
119,0.33988398,0.35874522
120,0.36594713,0.34006643
121,,0.3427417
122,0.33471194,0.35350353
123,0.3174991,0.34714812
124,0.2680511,0.34062365
125,0.25898656,0.3336168
126,0.3209099,0.31384742
127,0.38649002,0.3102837
128,0.40858123,0.33500007
129,0.41974556,0.36209014
130,0.45633993,0.37142634
131,0.46224648,0.37618497
132,0.4148667,0.39197257
133,,0.39454794
134,,0.37410212
135,0.28655833,0.37440583
136,0.29266736,0.36365765
137,0.29303688,0.32118392
138,0.28656057,0.32362217
139,0.31471983,0.3237699
140,,0.3211848
141,0.30953172,0.33249146
142,0.27511212,0.33577433
143,0.29201332,0.33039528
144,,0.31663746
145,,0.32336068
146,0.41983905,0.33337152
147,0.43940735,0.3369236
148,,0.3762249
149,0.39430955,0.38463134
150,,0.36477402
151,0.24781156,0.36538267
152,0.22565341,0.3587506
153,0.25637868,0.3059166
154,0.28059155,0.29733795
155,0.27738965,0.30926213
156,0.30992413,0.31881028
157,0.3702665,0.3175398
158,,0.33055365
159,,0.35530132
160,,0.3407206
161,,0.3537645
162,0.4116881,0.34608272
163,0.3909424,0.35295528
164,,0.37274787
165,0.4575477,0.36396328
166,0.43269676,0.36294544
167,0.41397968,0.39249855
168,0.44369066,0.3817392
169,0.4727895,0.37372398
170,0.48560682,0.38648248
171,,0.3991639
172,0.46152917,0.40480798
173,0.46824247,0.3768313
174,,0.39423478
175,0.54595107,0.39717016
176,,0.37424123
177,,0.43185878
178,,0.36373085
179,,0.39400613
180,,0.35820162
181,0.56240475,0.37412104
182,,0.3552915
183,0.46895182,0.43937132
184,,0.3537593
185,0.46079442,0.39748088
186,0.3695065,0.3529526
187,0.33431408,0.3939141
188,,0.3549847
189,0.27017477,0.340461
190,0.30635917,0.3535978
191,,0.3146851
192,0.28058648,0.32911634
193,0.2719432,0.33233947
194,,0.31880835
195,0.34429467,0.3153838
196,0.33981153,0.33451873
197,0.31627724,0.34455258
198,0.2614819,0.34271201
199,,0.3447325
200,0.33337706,0.33761138
201,0.34410056,0.33254394
202,0.3246946,0.340078
203,0.31107447,0.34447277
204,0.30039242,0.33653802
205,0.28610095,0.33101797
206,0.29152623,0.32671702
207,0.3082026,0.3210017
208,0.30776417,0.3231661
